Individual,Species,Dominant_Period,cf_wavelet,Treatment
JR4T2406_L1,Temnothorax_nitens,73.71157897,2.305006587,Larvae
JR4T2406_L2,Temnothorax_nitens,24.31575289,2.745003274,Larvae
JR4T2406_L3,Temnothorax_nitens,14.96810166,2.595153385,Larvae
JR4T2406_L4,Temnothorax_nitens,42.33618475,2.779117192,Larvae
JR4T2406_L5,Temnothorax_nitens,24.31575289,2.684867503,Larvae
JR4T2406_L6,Temnothorax_nitens,34.38766752,2.89815047,Larvae
JR4T2406_L7,Temnothorax_nitens,29.93620333,2.771046169,Larvae
JR4T2406_L8,Temnothorax_nitens,42.33618475,2.540868025,Larvae
JR4T2406_L9,Temnothorax_nitens,18.42789474,2.546351605,Larvae
JR4T2406_L10,Temnothorax_nitens,24.31575289,2.311406272,Larvae
JR4T2406_L11,Temnothorax_nitens,45.37479932,2.957477366,Larvae
JR4T2406_L12,Temnothorax_nitens,18.42789474,2.496311026,Larvae
JR4T2406_L13,Temnothorax_nitens,26.06097867,3.12021803,Larvae
JR4T2406_L14,Temnothorax_nitens,32.0848283,2.247549375,Larvae
JR4T2406_L15,Temnothorax_nitens,39.50105711,2.514669288,Larvae
JR4T2406_L16,Temnothorax_nitens,24.31575289,2.978379013,Larvae
JR4T2406_L17,Temnothorax_nitens,27.93146535,2.63539036,Larvae
JR4T2406_L18,Temnothorax_nitens,36.85578948,3.208112548,Larvae
JR4T2406_L19,Temnothorax_nitens,19.75052856,3.171380747,Larvae
JR4T2406_L20,Temnothorax_nitens,22.68739966,2.770461687,Larvae
JR4T2406_NL1,Temnothorax_nitens,45.37479932,2.55627845,No_larvae
JR4T2406_NL2,Temnothorax_nitens,27.93146535,2.685716238,No_larvae
JR4T2406_NL4,Temnothorax_nitens,24.31575289,2.465252231,No_larvae
JR4T2406_NL6,Temnothorax_nitens,36.85578948,2.631443933,No_larvae
JR4T2406_NL7,Temnothorax_nitens,18.42789474,2.651550593,No_larvae
JR4T2406_NL9,Temnothorax_nitens,14.96810166,2.337342301,No_larvae
JR4T2406_NL10,Temnothorax_nitens,34.38766752,2.461675045,No_larvae
JR4T2406_NL11,Temnothorax_nitens,18.42789474,2.305574326,No_larvae
JR4T2406_NL12,Temnothorax_nitens,29.93620333,2.730326618,No_larvae
JR4T2406_NL13,Temnothorax_nitens,27.93146535,2.321780538,No_larvae
JR4T2406_NL14,Temnothorax_nitens,22.68739966,2.545853373,No_larvae
JR4T2406_NL15,Temnothorax_nitens,12.15787645,2.494363988,No_larvae
JR4T2406_NL16,Temnothorax_nitens,39.50105711,3.088989315,No_larvae
JR4T2406_NL18,Temnothorax_nitens,22.68739966,2.96199559,No_larvae
JR4T2406_NL19,Temnothorax_nitens,16.04241415,2.464355461,No_larvae
JRCT2407_L1,Temnothorax_rudis,13.03048934,2.920864971,Larvae
JRCT2407_L2,Temnothorax_rudis,11.34369983,2.388743316,Larvae
JRCT2407_L3,Temnothorax_rudis,45.37479932,3.387870537,Larvae
JRCT2407_L4,Temnothorax_rudis,24.31575289,2.411655907,Larvae
JRCT2407_L5,Temnothorax_rudis,59.87240666,2.898997528,Larvae
JRCT2407_L6,Temnothorax_rudis,26.06097867,2.46272318,Larvae
JRCT2407_L7,Temnothorax_rudis,13.03048934,2.643298134,Larvae
JRCT2407_L8,Temnothorax_rudis,45.37479932,2.267809287,Larvae
JRCT2407_L9,Temnothorax_rudis,24.31575289,2.876521748,Larvae
JRCT2407_L10,Temnothorax_rudis,24.31575289,3.135520331,Larvae
JRCT2407_L11,Temnothorax_rudis,14.96810166,2.225236538,Larvae
JRCT2407_L12,Temnothorax_rudis,36.85578948,3.276960744,Larvae
JRCT2407_L13,Temnothorax_rudis,18.42789474,2.39413657,Larvae
JRCT2407_L15,Temnothorax_rudis,18.42789474,2.484885849,Larvae
JRCT2407_L16,Temnothorax_rudis,32.0848283,2.731605119,Larvae
JRCT2407_L17,Temnothorax_rudis,32.0848283,2.41940796,Larvae
JRCT2407_L18,Temnothorax_rudis,29.93620333,2.303372265,Larvae
JRCT2407_L19,Temnothorax_rudis,9.875264278,2.171227113,Larvae
JRCT2407_NL1,Temnothorax_rudis,16.04241415,2.280697132,No_larvae
JRCT2407_NL2,Temnothorax_rudis,29.93620333,2.435214291,No_larvae
JRCT2407_NL3,Temnothorax_rudis,27.93146535,2.422469255,No_larvae
JRCT2407_NL4,Temnothorax_rudis,13.96573267,2.5078956,No_larvae
JRCT2407_NL5,Temnothorax_rudis,64.16965659,2.521847425,No_larvae
JRCT2407_NL6,Temnothorax_rudis,39.50105711,2.70235918,No_larvae
JRCT2407_NL7,Temnothorax_rudis,11.34369983,2.249454445,No_larvae
JRCT2407_NL8,Temnothorax_rudis,12.15787645,2.502929793,No_larvae
JRCT2407_NL9,Temnothorax_rudis,26.06097867,2.772497171,No_larvae
JRCT2407_NL10,Temnothorax_rudis,26.06097867,3.041584313,No_larvae
JRCT2407_NL11,Temnothorax_rudis,17.19383376,2.57010136,No_larvae
JRCT2407_NL12,Temnothorax_rudis,29.93620333,2.580330181,No_larvae
JRCT2407_NL13,Temnothorax_rudis,9.213947371,2.613901917,No_larvae
JRCT2407_NL14,Temnothorax_rudis,97.26301157,2.20135428,No_larvae
JRCT2407_NL15,Temnothorax_rudis,36.85578948,2.819202306,No_larvae
JRCT2407_NL16,Temnothorax_rudis,18.42789474,2.807302717,No_larvae
JRCT2407_NL17,Temnothorax_rudis,13.03048934,2.253226652,No_larvae
JRCT2407_NL18,Temnothorax_rudis,24.31575289,2.229940069,No_larvae
JRCT2407_NL19,Temnothorax_rudis,55.86293069,3.000737055,No_larvae
JRCT2407_NL20,Temnothorax_rudis,34.38766752,2.844996409,No_larvae
JRCT2410_L1,Temnothorax_andrei,13.96573267,2.766430122,Larvae
JRCT2410_L2,Temnothorax_andrei,12.15787645,2.286459453,Larvae
JRCT2410_L3,Temnothorax_andrei,24.31575289,3.198937871,Larvae
JRCT2410_L4,Temnothorax_andrei,64.16965659,2.971551847,Larvae
JRCT2410_L5,Temnothorax_andrei,29.93620333,2.761127046,Larvae
JRCT2410_L6,Temnothorax_andrei,19.75052856,3.011701821,Larvae
JRCT2410_L8,Temnothorax_andrei,26.06097867,2.872043479,Larvae
JRCT2410_L9,Temnothorax_andrei,39.50105711,2.682814029,Larvae
JRCT2410_L10,Temnothorax_andrei,19.75052856,2.491408294,Larvae
JRCT2410_L11,Temnothorax_andrei,13.96573267,2.615680641,Larvae
JRCT2410_L12,Temnothorax_andrei,59.87240666,3.57858494,Larvae
JRCT2410_L13,Temnothorax_andrei,73.71157897,2.423428306,Larvae
JRCT2410_L14,Temnothorax_andrei,13.03048934,2.432714511,Larvae
JRCT2410_L15,Temnothorax_andrei,64.16965659,2.506250439,Larvae
JRCT2410_L16,Temnothorax_andrei,10.58404619,2.631041135,Larvae
JRCT2410_L17,Temnothorax_andrei,26.06097867,2.491619378,Larvae
JRCT2410_L18,Temnothorax_andrei,36.85578948,2.680519121,Larvae
JRCT2410_L19,Temnothorax_andrei,13.03048934,2.289020307,Larvae
JRCT2410_L20,Temnothorax_andrei,13.96573267,2.558033799,Larvae
JRCT2410_NL1,Temnothorax_andrei,34.38766752,2.824552382,No_larvae
JRCT2410_NL2,Temnothorax_andrei,22.68739966,2.838510668,No_larvae
JRCT2410_NL3,Temnothorax_andrei,16.04241415,2.744467708,No_larvae
JRCT2410_NL4,Temnothorax_andrei,14.96810166,2.2401048,No_larvae
JRCT2410_NL5,Temnothorax_andrei,24.31575289,3.004424597,No_larvae
JRCT2410_NL6,Temnothorax_andrei,29.93620333,2.584586042,No_larvae
JRCT2410_NL7,Temnothorax_andrei,19.75052856,2.690900702,No_larvae
JRCT2410_NL8,Temnothorax_andrei,14.96810166,2.448104194,No_larvae
JRCT2410_NL9,Temnothorax_andrei,32.0848283,2.231927877,No_larvae
JRCT2410_NL10,Temnothorax_andrei,13.96573267,2.453581221,No_larvae
JRCT2410_NL11,Temnothorax_andrei,24.31575289,2.000584818,No_larvae
JRCT2410_NL12,Temnothorax_andrei,22.68739966,3.171485862,No_larvae
JRCT2410_NL13,Temnothorax_andrei,36.85578948,2.251004182,No_larvae
JRCT2410_NL14,Temnothorax_andrei,16.04241415,2.122763339,No_larvae
JRCT2410_NL15,Temnothorax_andrei,26.06097867,2.567937725,No_larvae
JRCT2410_NL16,Temnothorax_andrei,48.63150578,2.657039249,No_larvae
JRCT2410_NL17,Temnothorax_andrei,13.03048934,2.823780524,No_larvae
JRCT2410_NL18,Temnothorax_andrei,84.67236951,3.070922295,No_larvae
JRCT2410_NL19,Temnothorax_andrei,13.03048934,2.478686813,No_larvae
JRCT2410_NL20,Temnothorax_andrei,39.50105711,2.424171488,No_larvae
PPL2407_L1,Leptothorax_crassipilis,64.16965659,3.739447218,Larvae
PPL2407_L2,Leptothorax_crassipilis,29.93620333,3.280009752,Larvae
PPL2407_L3,Leptothorax_crassipilis,26.06097867,2.71555673,Larvae
PPL2407_L4,Leptothorax_crassipilis,68.77533504,2.424172573,Larvae
PPL2407_L5,Leptothorax_crassipilis,45.37479932,2.631194744,Larvae
PPL2407_L6,Leptothorax_crassipilis,32.0848283,2.547737362,Larvae
PPL2407_L7,Leptothorax_crassipilis,34.38766752,3.16326964,Larvae
PPL2407_L8,Leptothorax_crassipilis,24.31575289,2.487063885,Larvae
PPL2407_L9,Leptothorax_crassipilis,36.85578948,2.830422904,Larvae
PPL2407_L10,Leptothorax_crassipilis,39.50105711,3.038671747,Larvae
PPL2407_L11,Leptothorax_crassipilis,45.37479932,2.83940929,Larvae
PPL2407_L12,Leptothorax_crassipilis,39.50105711,2.569029637,Larvae
PPL2407_L13,Leptothorax_crassipilis,68.77533504,2.685935174,Larvae
PPL2407_L14,Leptothorax_crassipilis,24.31575289,2.948177002,Larvae
PPL2407_L15,Leptothorax_crassipilis,17.19383376,2.890759235,Larvae
PPL2407_L16,Leptothorax_crassipilis,14.96810166,2.988429696,Larvae
PPL2407_L17,Leptothorax_crassipilis,29.93620333,2.934076137,Larvae
PPL2407_L18,Leptothorax_crassipilis,32.0848283,2.909575218,Larvae
PPL2407_L19,Leptothorax_crassipilis,42.33618475,2.761624559,Larvae
PPL2407_L20,Leptothorax_crassipilis,26.06097867,2.36038328,Larvae
PPL2407_NL1,Leptothorax_crassipilis,18.42789474,2.670876629,No_larvae
PPL2407_NL2,Leptothorax_crassipilis,26.06097867,2.6802245,No_larvae
PPL2407_NL3,Leptothorax_crassipilis,42.33618475,2.87788764,No_larvae
PPL2407_NL4,Leptothorax_crassipilis,17.19383376,2.707885148,No_larvae
PPL2407_NL5,Leptothorax_crassipilis,26.06097867,2.317168401,No_larvae
PPL2407_NL6,Leptothorax_crassipilis,29.93620333,2.900710894,No_larvae
PPL2407_NL7,Leptothorax_crassipilis,12.15787645,2.620569366,No_larvae
PPL2407_NL8,Leptothorax_crassipilis,36.85578948,2.75282645,No_larvae
PPL2407_NL9,Leptothorax_crassipilis,79.00211422,3.173017702,No_larvae
PPL2407_NL10,Leptothorax_crassipilis,32.0848283,2.209262458,No_larvae
PPL2407_NL11,Leptothorax_crassipilis,34.38766752,2.889076745,No_larvae
PPL2407_NL12,Leptothorax_crassipilis,42.33618475,2.704526242,No_larvae
PPL2407_NL13,Leptothorax_crassipilis,68.77533504,2.976349464,No_larvae
PPL2407_NL14,Leptothorax_crassipilis,34.38766752,2.499657773,No_larvae
PPL2407_NL15,Leptothorax_crassipilis,29.93620333,2.565685449,No_larvae
PPL2407_NL16,Leptothorax_crassipilis,34.38766752,2.551611732,No_larvae
PPL2407_NL17,Leptothorax_crassipilis,32.0848283,2.316238304,No_larvae
PPL2407_NL18,Leptothorax_crassipilis,22.68739966,3.022543818,No_larvae
PPL2407_NL19,Leptothorax_crassipilis,18.42789474,3.1337084,No_larvae
PPL2407_NL20,Leptothorax_crassipilis,45.37479932,2.617186856,No_larvae
PPT2415_L1,Temnothorax_rugatulus,9.875264278,2.284917442,Larvae
PPT2415_L2,Temnothorax_rugatulus,19.75052856,2.746800666,Larvae
PPT2415_L3,Temnothorax_rugatulus,32.0848283,2.190966458,Larvae
PPT2415_L4,Temnothorax_rugatulus,22.68739966,3.24799254,Larvae
PPT2415_L5,Temnothorax_rugatulus,34.38766752,2.591782736,Larvae
PPT2415_L6,Temnothorax_rugatulus,19.75052856,2.781243635,Larvae
PPT2415_L7,Temnothorax_rugatulus,64.16965659,2.307025903,Larvae
PPT2415_L8,Temnothorax_rugatulus,68.77533504,3.150838546,Larvae
PPT2415_L9,Temnothorax_rugatulus,18.42789474,2.723864161,Larvae
PPT2415_L10,Temnothorax_rugatulus,36.85578948,3.032932935,Larvae
PPT2415_L11,Temnothorax_rugatulus,21.16809238,2.46898916,Larvae
PPT2415_L12,Temnothorax_rugatulus,29.93620333,2.364816503,Larvae
PPT2415_L13,Temnothorax_rugatulus,48.63150578,2.222468266,Larvae
PPT2415_L14,Temnothorax_rugatulus,19.75052856,2.506917889,Larvae
PPT2415_L15,Temnothorax_rugatulus,18.42789474,2.403034184,Larvae
PPT2415_L16,Temnothorax_rugatulus,24.31575289,3.102634008,Larvae
PPT2415_L17,Temnothorax_rugatulus,59.87240666,2.49237505,Larvae
PPT2415_L18,Temnothorax_rugatulus,48.63150578,2.613295038,Larvae
PPT2415_L19,Temnothorax_rugatulus,79.00211422,2.679748979,Larvae
PPT2415_L20,Temnothorax_rugatulus,55.86293069,2.845756785,Larvae
PPT2415_NL1,Temnothorax_rugatulus,73.71157897,2.405577231,No_larvae
PPT2415_NL2,Temnothorax_rugatulus,13.96573267,2.940734898,No_larvae
PPT2415_NL3,Temnothorax_rugatulus,32.0848283,2.294195826,No_larvae
PPT2415_NL4,Temnothorax_rugatulus,55.86293069,2.426994239,No_larvae
PPT2415_NL5,Temnothorax_rugatulus,59.87240666,2.911627599,No_larvae
PPT2415_NL6,Temnothorax_rugatulus,39.50105711,2.203980043,No_larvae
PPT2415_NL7,Temnothorax_rugatulus,13.96573267,2.329918082,No_larvae
PPT2415_NL8,Temnothorax_rugatulus,14.96810166,2.613638693,No_larvae
PPT2415_NL9,Temnothorax_rugatulus,24.31575289,2.247108645,No_larvae
PPT2415_NL10,Temnothorax_rugatulus,45.37479932,2.708920162,No_larvae
PPT2415_NL11,Temnothorax_rugatulus,17.19383376,2.87639514,No_larvae
PPT2415_NL12,Temnothorax_rugatulus,13.96573267,2.177452795,No_larvae
PPT2415_NL13,Temnothorax_rugatulus,79.00211422,2.814617325,No_larvae
PPT2415_NL14,Temnothorax_rugatulus,21.16809238,2.127119453,No_larvae
PPT2415_NL15,Temnothorax_rugatulus,59.87240666,2.586561363,No_larvae
PPT2415_NL16,Temnothorax_rugatulus,14.96810166,2.372669217,No_larvae
PPT2415_NL17,Temnothorax_rugatulus,42.33618475,2.31661385,No_larvae
PPT2415_NL18,Temnothorax_rugatulus,26.06097867,2.173250594,No_larvae
PPT2415_NL19,Temnothorax_rugatulus,34.38766752,2.397036601,No_larvae
PPT2415_NL20,Temnothorax_rugatulus,29.93620333,2.286602316,No_larvae
PWM242_L1,Myrmica_punctiventris,16.04241415,2.189667888,Larvae
PWM242_L2,Myrmica_punctiventris,24.31575289,2.45785103,Larvae
PWM242_L3,Myrmica_punctiventris,17.19383376,2.47660838,Larvae
PWM242_L4,Myrmica_punctiventris,52.12195734,2.357548268,Larvae
PWM242_L5,Myrmica_punctiventris,39.50105711,3.357984738,Larvae
PWM242_L6,Myrmica_punctiventris,29.93620333,2.474568174,Larvae
PWM242_L7,Myrmica_punctiventris,32.0848283,2.704093272,Larvae
PWM242_L8,Myrmica_punctiventris,19.75052856,2.715286025,Larvae
PWM242_L9,Myrmica_punctiventris,8.59691688,2.190839329,Larvae
PWM242_L10,Myrmica_punctiventris,13.03048934,2.800600825,Larvae
PWM242_NL1,Myrmica_punctiventris,14.96810166,2.485455646,No_larvae
PWM242_NL2,Myrmica_punctiventris,27.93146535,2.558363791,No_larvae
