Colony,Dominant_Period,cf_wavelet,Date_of_recording,Species,Origin,Date_of_collection,No_of_ants,Dominant_Period_trim,cf_wavelet_trim
BCGT1,39.50105711,3.003725735,10/9/2022,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX,4/23/2022,112,39.50105711,3.102611364
BCGT1,32.0848283,2.579362555,5/16/2022,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX,4/23/2022,65,13.96573267,2.689710422
BCGT1,32.0848283,2.566914372,6/12/2022,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX,4/23/2022,89,29.93620333,2.354546308
BFLT1,34.38766752,3.48909899,7/30/2022,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX,4/25/2022,8,32.0848283,3.291653753
BFLT1,39.50105711,2.970652843,9/2/2022,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX,4/25/2022,9,27.93146535,2.675110637
BFLT3,36.85578948,4.761933646,10/18/2022,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX,4/25/2022,17,34.38766752,4.236755014
BFLT3,27.93146535,2.590576195,6/14/2022,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX,4/25/2022,5,17.19383376,2.621126281
BFLT3,36.85578948,4.255633729,9/27/2022,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX,4/25/2022,14,36.85578948,3.840864729
BFLT4,34.38766752,4.444155924,7/30/2022,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX,4/25/2022,15,36.85578948,4.495014646
BFLT4,36.85578948,4.660291433,10/28/2022,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX,4/25/2022,20,36.85578948,4.340441508
BFLT4,29.93620333,4.598613199,5/16/2022,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX,4/25/2022,6,29.93620333,4.185276706
BFLT4,34.38766752,4.799810951,6/12/2022,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX,4/25/2022,10,34.38766752,4.912309443
BFLT5,34.38766752,4.788636193,10/25/2022,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX,4/26/2022,36,39.50105711,3.834508056
BFLT5,36.85578948,3.990404252,10/20/2022,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX,4/26/2022,34,39.50105711,3.505847891
BFLT5,29.93620333,2.79882237,6/14/2022,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX,4/26/2022,23,27.93146535,2.21271819
BFLT5,32.0848283,3.573978021,5/16/2022,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX,4/26/2022,18,26.06097867,2.722360716
BFLT6,36.85578948,2.797616983,9/26/2022,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX,4/26/2022,83,26.06097867,3.368494387
BFLT6,22.68739966,3.09800211,10/28/2022,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX,4/26/2022,85,27.93146535,3.128287777
BFLT6,26.06097867,3.455762297,10/8/2022,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX,4/26/2022,85,26.06097867,4.254007759
BFLT6,19.75052856,2.843784448,5/16/2022,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX,4/26/2022,72,14.96810166,2.430795275
BFLT6,19.75052856,2.638065708,6/14/2022,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX,4/26/2022,83,18.42789474,2.722604573
CASL1,52.12195734,2.899547378,10/15/2022,Leptothorax_crassipilis-nr-a,Ruidoso_NM,8/11/2022,26,39.50105711,3.064592307
CASL1,32.0848283,3.066807197,9/2/2022,Leptothorax_crassipilis-nr-a,Ruidoso_NM,8/11/2022,26,26.06097867,3.301584649
CASL2,84.67236951,2.771403682,10/1/2022,Leptothorax_crassipilis-nr-a,Ruidoso_NM,8/11/2022,240,48.63150578,3.533205189
CASL2,48.63150578,3.464662415,9/2/2022,Leptothorax_crassipilis-nr-a,Ruidoso_NM,8/11/2022,228,48.63150578,2.933132479
CASL3,32.0848283,3.487000258,9/2/2022,Leptothorax_crassipilis-nr-a,Ruidoso_NM,8/13/2022,13,73.71157897,2.44548372
