Individual,Dominant_Period,cf_wavelet,nancount,Date,Colony,Species,Origin
10_2_1,22.68739966,2.684725297,0.002083333,10/2/2022,HML1,Leptothorax_az02,Huachuca_Mountains_AZ
10_2_10,29.93620333,2.669662868,0.020833333,10/2/2022,GLT25,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_2_11,11.34369983,2.973378764,0.042708333,10/2/2022,GLT25,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_2_12,39.50105711,2.562136593,0.002083333,10/2/2022,HML8,Leptothorax_az02,Huachuca_Mountains_AZ
10_2_13,45.37479932,3.493663396,0,10/2/2022,HML8,Leptothorax_az02,Huachuca_Mountains_AZ
10_2_14,29.93620333,2.914332041,0.019791667,10/2/2022,HML8,Leptothorax_az02,Huachuca_Mountains_AZ
10_2_15,19.75052856,2.453711373,0.122916667,10/2/2022,PWT1,Temnothorax_curvispinosus,Potawatomi_Woods_Cook_County_IL
10_2_16,19.75052856,2.512452657,0.213541667,10/2/2022,PWT1,Temnothorax_curvispinosus,Potawatomi_Woods_Cook_County_IL
10_2_17,12.15787645,3.254700216,0.08125,10/2/2022,PWT1,Temnothorax_curvispinosus,Potawatomi_Woods_Cook_County_IL
10_2_18,13.96573267,2.397791935,0.002083333,10/2/2022,PWT1,Temnothorax_curvispinosus,Potawatomi_Woods_Cook_County_IL
10_2_19,16.04241415,2.498650198,0.028125,10/2/2022,PWT1,Temnothorax_curvispinosus,Potawatomi_Woods_Cook_County_IL
10_2_2,16.04241415,2.431598554,0.059375,10/2/2022,GLT25,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_2_20,52.12195734,2.605618505,0.002083333,10/2/2022,JR4T8,Temnothorax_andrei,UC_James_San_Jacinto_Mountain_Reserve_Riverside_County_CA
10_2_21,17.19383376,2.248920071,0,10/2/2022,JR4T8,Temnothorax_andrei,UC_James_San_Jacinto_Mountain_Reserve_Riverside_County_CA
10_2_22,29.93620333,2.403460996,0.098958333,10/2/2022,JR4T8,Temnothorax_andrei,UC_James_San_Jacinto_Mountain_Reserve_Riverside_County_CA
10_2_23,19.75052856,2.216892314,0.141666667,10/2/2022,PA2249,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_2_24,39.50105711,2.32071055,0.004166667,10/2/2022,PA2249,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
