"","sigsq","sigsq.tier","source","trait"
"sigsq.wavelet.CR",0.138096110348249,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR",0.00731107102821794,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR",0.391107106556364,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR",0.262377919418501,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR1",0.160523930994897,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR1",0.00713703017758419,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR1",0.349896969004182,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR1",0.0985375729844993,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR2",0.102128692313017,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR2",0.00877374425456811,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR2",0.2560017794523,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR2",0.244928397746574,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR3",0.14959252633917,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR3",0.0139374930315483,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR3",0.281034985288825,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR3",0.196067349788589,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR4",0.176975076242532,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR4",0.018211583050958,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR4",0.294538071060212,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR4",0.158653752090629,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR5",0.0866467544046508,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR5",0.00516285071787621,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR5",0.358107678527951,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR5",0.0978766293010194,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR6",0.0744066127267442,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR6",0.00554385474047408,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR6",0.278250219031115,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR6",0.16383746945656,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR7",0.0824162067778057,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR7",0.00839791873664087,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR7",0.326616493702115,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR7",0.153719428486912,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR8",0.248483681724842,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR8",0.00829845249679318,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR8",0.295742251421454,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR8",0.143341912977978,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9",0.0955854266425415,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9",0.00841529709569454,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9",0.299476348521595,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9",0.188693340977569,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR10",0.179921911651626,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR10",0.00658966298252038,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR10",0.488267970920019,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR10",0.191294604088655,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR11",0.0831655070159076,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR11",0.013792994632485,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR11",0.33110931144089,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR11",0.224272946859076,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR12",0.0820806627945837,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR12",0.00733813472835819,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR12",0.281317947481363,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR12",0.220755775459884,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR13",0.0784640091643523,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR13",0.0137181251348419,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR13",0.383962746820766,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR13",0.193657280893839,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR14",0.210694229651783,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR14",0.00932425212409382,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR14",0.358174884684243,"sigsq.period.CR","Colony","Period"
