"","sigsq","sigsq.tier","source","trait"
"sigsq.wavelet.CR",0.138096110348249,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR",0.00380678850774103,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR",0.391107106556364,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR",0.0773087291373796,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR1",0.161700144569176,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR1",0.00706119851902109,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR1",0.35141203914125,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR1",0.239561698023103,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR2",0.103509684084003,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR2",0.013199676837752,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR2",0.255943915176324,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR2",0.157461254677851,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR3",0.152974226467274,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR3",0.00323542967116472,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR3",0.279959710099744,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR3",0.15243477615372,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR4",0.127971537816984,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR4",0.00845489611663797,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR4",0.301773306203706,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR4",0.271620595126301,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR5",0.0866467544046508,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR5",0.0108621901456654,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR5",0.358107678527951,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR5",0.120506215012167,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR6",0.0744985636063155,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR6",0.00631244206370149,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR6",0.278782147094229,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR6",0.202461592985048,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR7",0.0822224610208642,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR7",0.0127561143522837,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR7",0.324868235322806,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR7",0.198878017278734,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR8",0.251781045738011,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR8",0.0194112579048696,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR8",0.30149585581993,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR8",0.223939754498394,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9",0.0968569900385192,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9",0.0082293098625218,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9",0.299105766168426,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9",0.0537590743563493,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR10",0.195217968813175,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR10",0.00994268732523701,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR10",0.446143684013838,"sigsq.period.CR","Colony","Period"
